Vul	Ein Nachbarskind fragt dich nach Hilfe bei einer Mathehausaufgabe. Du fängst an zu rechnen und merkst, dass ein Wert fehlt, um die Gleichung zu lösen.	A neighbor's kid asks you for help with a math homework. You start to calculate and realize that a value is missing to solve the equation.	{'neg': 0.078, 'neu': 0.676, 'pos': 0.246, 'compound': 0.5719}	emotional
Neif	Du arbeitest in einem großen Projekt an einer App für deinen Arbeitgeber. Damit sollen sich die Mitarbeiter und Mitarbeiterinnen gegenseitig kontaktieren können. Dein Arbeitgeber hat dir dafür einen Programmierkurs bezahlt.	You are working on a large project on an app for your employer. This should enable employees to contact each other. Your employer paid you for a programming course.	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral
Zimerhubst	Du bist in der vergangenen Nacht erst spät schlafen gegangen, weil du eine To-Do-Liste für die Arbeit angelegt hast. Du brauchst einen stärkeren Kaffee als üblich, um richtig wach zu werden. 	You went to bed late last night because you made a to-do list for work. You need a stronger coffee than usual to wake up properly.	{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3818}	neutral
Zwelde	Du wachst als Kind auf und kannst dich noch gut an die Geschichte aus deinem Traum erinnern. Du warst im Wald und es kamen Tiere darin vor.	You wake up as a child and you can still remember the story from your dream. You were in the forest and there were animals in it.	{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.25}	neutral
Herklögen	Du sitzt nach Feierabend beim Abendessen mit deinen Mitbewohnern in der WG-Küche. Ihr wohnt schon seit zwei Jahren zusammen. Ihr esst gemeinsam und unterhaltet euch über euren Tag.	After work you sit at dinner with your roommates in the shared kitchen. You've been living together for two years. You eat together and talk about your day.	{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.34}	neutral
Preier	Du erhältst eine Einladung zu einer Feier, die am Wochenende stattfinden soll. Du überlegst hinzugehen, aber hast noch viel zu tun, weshalb du zu Hause bleibst. 	You receive an invitation to a party scheduled for the weekend. You are considering going, but you still have a lot to do, which is why you are staying at home.	{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.2144}	neutral
Muschürdur	Du wachst morgens auf und bist immer noch müde. Du fragst dich warum, weil du eigentlich ausreichend Schlaf bekommen hast. Manchmal scheint dein Schlaf nicht so erholsam zu sein.	You wake up in the morning and you're still tired. You wonder why, because you actually got enough sleep. Sometimes your sleep doesn't seem so restful.	{'neg': 0.096, 'neu': 0.796, 'pos': 0.108, 'compound': 0.0878}	neutral
Ismiprämpf	Du hast dich mit einem*r Bekannten in einem Café verabredet. Du bist zuerst da und suchst einen Tisch aus. Dann schaust du regelmäßig zur Eingangstür, ob er*sie hereinkommt.	You have arranged to meet a friend in a café. You are there first and choose a table. Then you regularly check the front door to see if he*she is coming in.	{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.4939}	neutral
Glühm	Du sitzt auf deiner Couch, als es an der Tür klingelt. Du bist dir nicht sicher, ob du dich verhört hast und lauschst. Du bleibst ruhig sitzen und wartest ab, ob es nochmal klingelt.	You're sitting on your couch when the doorbell rings. You are not sure if you misheard and are listening. You sit quietly and wait to see if the doorbell rings again.	{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.2411}	neutral
Rugliebast	Du bestellst für die gesamte Familie Pizza. Um nichts zu vergessen, gehst du die Bestellung einmal im Kopf durch, bevor du die Nummer der Pizzaria wählst.	You order pizza for the whole family. In order not to forget anything, go through the order in your head before dialing the number of the pizzeria.	{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.242}	neutral
Wumeizauch	Du bist in der Mensa mit einem*r Kommilitonen*in. Du fragst sie, was du essen sollst. Die Person hinter euch in der Schlange rät dir, nicht die gefüllte Paprika zu nehmen, weil sie versalzen sei.	You are in the canteen with a fellow student. You ask her what you should eat. The person behind you in line advises you not to take the stuffed peppers because they are oversalted.	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral
Häugnung	Du läufst auf der Straße, als neben dir ein Mann anfängt zu rennen. Du fragst dich, wohin er läuft. Du siehst, wie er einem anderen Mann zuruft und ihm winkt. Die beiden scheinen sich zu kennen.	You are walking down the street when a man starts running next to you. You wonder where he's going. You see him calling and waving to another man. The two seem to know each other.	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral
Wupforau	Du kommst im Zug mit jemandem ins Gespräch. Es ergibt sich, dass ihr dasselbe Fach studiert. Du gehst davon aus, dass ihr euch noch häufiger in der Uni begegnen werdet.	You strike up a conversation with someone on the train. It turns out that you are studying the same subject. You assume that you will meet more often at university.	{'neg': 0.051, 'neu': 0.949, 'pos': 0.0, 'compound': -0.128}	neutral
Bismirbiel	Dein*e Mitbewohner*in bittet dich, den Fernseher etwas lauter zu stellen. Du nimmst dir die Fernbedienung und stellst ihn gleich einige Stufen lauter, um sicherzugehen.	Your roommate asks you to turn up the volume on the TV. You take the remote control and turn it up a few notches just to be sure.	{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.3182}	neutral
Enkmitas	Du wolltest gerade auf die Internetseite deines Online-Banking zugreifen. Du zögerst für einen kurzen Moment, weil dir die URL entfallen ist. Deine Finger schweben über den Tasten.	You were about to access your online banking website. You hesitate for a moment because you've forgotten the URL. Your fingers hover over the keys.	{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4588}	neutral
Mege	Du hast auf der Arbeit eine Übersichtstabelle mit den Aufgaben aller Mitarbeiter. Du siehst, dass ein*e Kolleg*in eingetragen hat, dass er*sie alle seine*ihre Aufgaben für heute erledigt hat.	You have an overview table at work with the tasks of all employees. You see that a colleague has entered that he/she has completed all of his/her tasks for today.	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral
Weforshank	An der Bushaltestelle hält eine Person ein Baby auf dem Arm und wiegt es hin und her. Das Baby ist ganz ruhig.	At the bus stop, a person is holding a baby and rocking it back and forth. The baby is very calm.	{'neg': 0.101, 'neu': 0.78, 'pos': 0.119, 'compound': 0.101}	neutral
Plüpp	Du liest ein Buch auf Englisch. Du merkst, dass du viel länger für eine Seite brauchst als bei Büchern auf Deutsch.	You are reading a book in English. You notice that you need much longer for one page than with books in German.	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral
Skibt	Ein*e Kollegen*in erzählt, dass er*sie hungrig ist. Nachdem von Essen die Rede war, merkst du, dass du auch Lust hättest, etwas zu essen.	A colleague tells that he*she is hungry. After talking about food, you realize that you would also like to eat something.	{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}	neutral
