Vul	Ein Nachbarskind fragt dich nach Hilfe bei einer Mathehausaufgabe. Du fängst an zu rechnen und merkst, dass ein Wert fehlt, um die Gleichung zu lösen.	{'neg': 0.078, 'neu': 0.676, 'pos': 0.246, 'compound': 0.5719}	emotional
Neif	Du arbeitest in einem großen Projekt an einer App für deinen Arbeitgeber. Damit sollen sich die Mitarbeiter und Mitarbeiterinnen gegenseitig kontaktieren können. Dein Arbeitgeber hat dir dafür einen Programmierkurs bezahlt.	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral
Zimerhubst	Du bist in der vergangenen Nacht erst spät schlafen gegangen, weil du eine To-Do-Liste für die Arbeit angelegt hast. Du brauchst einen stärkeren Kaffee als üblich, um richtig wach zu werden. 	{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3818}	neutral
Zwelde	Du wachst als Kind auf und kannst dich noch gut an die Geschichte aus deinem Traum erinnern. Du warst im Wald und es kamen Tiere darin vor.	{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.25}	neutral
Herklögen	Du sitzt nach Feierabend beim Abendessen mit deinen Mitbewohnern in der WG-Küche. Ihr wohnt schon seit zwei Jahren zusammen. Ihr esst gemeinsam und unterhaltet euch über euren Tag.	{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.34}	neutral
Preier	Du erhältst eine Einladung zu einer Feier, die am Wochenende stattfinden soll. Du überlegst hinzugehen, aber hast noch viel zu tun, weshalb du zu Hause bleibst. 	{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.2144}	neutral
Muschürdur	Du wachst morgens auf und bist immer noch müde. Du fragst dich warum, weil du eigentlich ausreichend Schlaf bekommen hast. Manchmal scheint dein Schlaf nicht so erholsam zu sein.	{'neg': 0.096, 'neu': 0.796, 'pos': 0.108, 'compound': 0.0878}	neutral
Ismiprämpf	Du hast dich mit einem*r Bekannten in einem Café verabredet. Du bist zuerst da und suchst einen Tisch aus. Dann schaust du regelmäßig zur Eingangstür, ob er*sie hereinkommt.	{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.4939}	neutral
Glühm	Du sitzt auf deiner Couch, als es an der Tür klingelt. Du bist dir nicht sicher, ob du dich verhört hast und lauschst. Du bleibst ruhig sitzen und wartest ab, ob es nochmal klingelt.	{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.2411}	neutral
Rugliebast	Du bestellst für die gesamte Familie Pizza. Um nichts zu vergessen, gehst du die Bestellung einmal im Kopf durch, bevor du die Nummer der Pizzaria wählst.	{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.242}	neutral
Wumeizauch	Du bist in der Mensa mit einem*r Kommilitonen*in. Du fragst sie, was du essen sollst. Die Person hinter euch in der Schlange rät dir, nicht die gefüllte Paprika zu nehmen, weil sie versalzen sei.	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral
Häugnung	Du läufst auf der Straße, als neben dir ein Mann anfängt zu rennen. Du fragst dich, wohin er läuft. Du siehst, wie er einem anderen Mann zuruft und ihm winkt. Die beiden scheinen sich zu kennen.	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral
Wupforau	Du kommst im Zug mit jemandem ins Gespräch. Es ergibt sich, dass ihr dasselbe Fach studiert. Du gehst davon aus, dass ihr euch noch häufiger in der Uni begegnen werdet.	{'neg': 0.051, 'neu': 0.949, 'pos': 0.0, 'compound': -0.128}	neutral
Bismirbiel	Dein*e Mitbewohner*in bittet dich, den Fernseher etwas lauter zu stellen. Du nimmst dir die Fernbedienung und stellst ihn gleich einige Stufen lauter, um sicherzugehen.	{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.3182}	neutral
